Value, Percent Darted
0.98, 0.3203125
0.981, 0.3203125
0.982, 0.3359375
0.983, 0.3359375
0.984, 0.3515625
0.985, 0.3515625
0.986, 0.3671875
0.987, 0.3671875
0.988, 0.3828125
0.989, 0.3828125
0.99, 0.3984375
0.991, 0.3984375
0.992, 0.4140625
0.993, 0.4140625
0.994, 0.4140625
0.995, 0.4296875
0.996, 0.4453125
0.997, 0.4453125
0.998, 0.4453125
0.999, 0.4609375
Value, Percent Darted
0.8, 0.4296875
0.81, 0.4296875
0.8200000000000001, 0.4296875
0.8300000000000001, 0.4296875
0.8400000000000001, 0.4296875
0.8500000000000001, 0.4296875
0.8600000000000001, 0.4296875
0.8700000000000001, 0.4453125
0.8800000000000001, 0.4453125
0.8900000000000001, 0.4453125
Value, Percent Darted
0.1, 0.4453125
0.15000000000000002, 0.4296875
0.2, 0.4296875
0.25, 0.4296875
0.3, 0.4296875
0.35, 0.4296875
0.39999999999999997, 0.4453125
0.44999999999999996, 0.4296875
0.49999999999999994, 0.4296875
Value, Percent Darted
3.0, 0.4453125
3.05, 0.4453125
3.0999999999999996, 0.4296875
3.1499999999999995, 0.4296875
3.1999999999999993, 0.4296875
3.249999999999999, 0.4296875
3.299999999999999, 0.4140625
3.3499999999999988, 0.4140625
3.3999999999999986, 0.4140625
Value, Percent Darted
3500, 0.4296875
4000, 0.4296875
4500, 0.4296875
5000, 0.4296875
5500, 0.4296875
6000, 0.4296875
6500, 0.4296875
